Site,Land Cover Type
HMECR01,Agircultural
POPR01,Agircultural
POPRT01,Agircultural
WOODR02A,Agircultural
PINCR01,Agircultural
PINCR02,Agircultural
SMICR01,Agircultural
HORCR01,Grassland
HORCR02,Grassland
WETCR01,Grassland
ROCCR01,Grassland
ROCCR02,Grassland
ROCCR03,Grassland
